,created_at,text,user_loc,user_loc2,user_id,user_hist,hashtags
0,Thu Jun 23 00:31:58 +0000 2016,RT @CarolineLucas: Can't bear idea that tonight might be last night as part of EU -only when risk losing something do we see true value htt…,,,19964117,Tue Feb 03 10:48:32 +0000 2009,
1,Thu Jun 23 00:31:58 +0000 2016,"RT @icklenellierose: The #Brexit episode of @LastWeekTonight with @iamjohnoliver is delayed on @SkyUK until Thurs, so SHARE IT LIKE HELL ht…","Cannock, England",,1854642139,Wed Sep 11 15:12:58 +0000 2013,Brexit
2,Thu Jun 23 00:31:58 +0000 2016,Final EU referendum poll from pollsters ComRes shows Remain with lead of eight points https://t.co/daODIc4Dhx,New York,,14389212,Mon Apr 14 19:17:23 +0000 2008,
3,Thu Jun 23 00:31:58 +0000 2016,RT @kazdella: So all the rich are coming out to #voteremain #nhs #schools etc does'nt affect them they can all afford private #VoteLeave #b…,London,,2153097126,Thu Oct 24 14:42:20 +0000 2013,voteremain;nhs;schools;VoteLeave;brexit
4,Thu Jun 23 00:31:58 +0000 2016,Nobody is. Donald. No one. https://t.co/noBBAx1Z1o,"Sammamish, Washington",,30691918,Sun Apr 12 18:11:52 +0000 2009,
5,Thu Jun 23 00:31:59 +0000 2016,RT @reda2448: https://t.co/arqe2lYSvC I had no idea! Dems talk gun control when Omg Abortions! Insane!,"Georgia, USA",,4411076609,Tue Dec 08 02:25:01 +0000 2015,
6,Thu Jun 23 00:31:59 +0000 2016,"RT @cheekylatte: Make sure you know this before you vote to #Remain kidding yourselves EU can be reformed.
Not #StrongerIn #Brexit https://…",,,704847650663723008,Wed Mar 02 01:55:50 +0000 2016,Remain;StrongerIn;Brexit
7,Thu Jun 23 00:31:59 +0000 2016,RT @racheljoyce: German CBI head confirms free trade will continue after #Brexit. https://t.co/Ptyzso04SC But will @SkyNews @BBCNews mentio…,"Montréal, QC",,1939552088,Sun Oct 06 02:42:50 +0000 2013,Brexit
8,Thu Jun 23 00:31:54 +0000 2016,RT @business: #Brexit referendum day has finally arrived after months of division https://t.co/GBkQ6hxhwn https://t.co/Z6MElIQtlL,Persekutuan Malaysia,,154829457,Sat Jun 12 09:11:13 +0000 2010,Brexit
9,Thu Jun 23 00:31:59 +0000 2016,If Hong Kong had one chance to quit China #brexit https://t.co/7roeH6gDBn,Georgia,United States,20466413,Mon Feb 09 20:56:27 +0000 2009,brexit
10,Thu Jun 23 00:31:59 +0000 2016,@BearGrylls @BritishGQ You know when piss drinker here talks about economics we should listen #Brexit,"Eritrea, district of Mordor",,724604680068804609,Mon Apr 25 14:23:13 +0000 2016,Brexit
11,Thu Jun 23 00:31:59 +0000 2016,RT @Cuppatea23Yt: https://t.co/Pk59ICv34I TOP 10 RICHEST CAR BRANDS 2016 #Audi #BMW #MercedesBenz #TopGear #Top10Tuesday #Euro2016 #EUref #…,"Muscat, Oman",,744780084280590337,Mon Jun 20 06:33:04 +0000 2016,Audi;BMW;MercedesBenz;TopGear;Top10Tuesday;Euro2016;EUref;VoteLeave;Cars;UK
12,Thu Jun 23 00:32:00 +0000 2016,"RT @suttonnick: Thursday's Daily Mail front page
Nailed: four big EU lies
#Tomorrowspaperstoday #bbcpapers #euref https://t.co/wwyBbEADfm","England, United Kingdom",,1887556386,Fri Sep 20 19:36:01 +0000 2013,Tomorrowspaperstoday;bbcpapers;euref
13,Thu Jun 23 00:32:00 +0000 2016,The latest Bateman's Financial Favorites! https://t.co/H3Fs6dkBAK Thanks to @hgetson @FinancialGlazer @FA_Options #stocks #brexit,"Albuquerque, New Mexico",,15203873,Mon Jun 23 04:52:46 +0000 2008,stocks;brexit
14,Thu Jun 23 00:32:00 +0000 2016,"RT @IngrahamAngle: America's #Brexit-style vote is in Nov.-- Will USA remain a free, independent &amp; sovereign nation or cede more control to…",Minnesota,,863889445,Sat Oct 06 00:28:47 +0000 2012,Brexit
15,Thu Jun 23 00:32:00 +0000 2016,RT @BBee_tv: #LastWeekTonight with #JohnOliver: Brexit (HBO) https://t.co/4wiy1gBEjC https://t.co/VTjycxNtl3,,,4548822929,Sun Dec 20 18:31:06 +0000 2015,LastWeekTonight;JohnOliver
16,Thu Jun 23 00:32:01 +0000 2016,The latest Bateman's Financial Favorites! https://t.co/bI8P6u3SEo Thanks to @hgetson @FinancialGlazer @FA_Options #stocks #brexit,"Albuquerque, New Mexico",,15203873,Mon Jun 23 04:52:46 +0000 2008,stocks;brexit
17,Thu Jun 23 00:32:01 +0000 2016,Good Governance &amp; Sustainable Devt is out! https://t.co/xs7nFmKToz #brexit #euref,Global | USA | Africa |Nigeria,,77039025,Thu Sep 24 20:46:38 +0000 2009,brexit;euref
18,Thu Jun 23 00:32:01 +0000 2016,"Gold Hammered Ahead Of Yellen Testimony, Brexit Vote … : https://t.co/ENF6JGbOKt .,,, https://t.co/wE0ARgy9uL",,,3330269531,Tue Jun 16 22:13:55 +0000 2015,
19,Thu Jun 23 00:32:01 +0000 2016,RT @johnfcarter: Irony: Britain celebrating its 40 year anniversary of the IMF bailout of the British Pound . . . with a vote on Brexit.,Earth,,1628164752,Sun Jul 28 16:03:38 +0000 2013,
20,Thu Jun 23 00:32:01 +0000 2016,RT @Trev_Forrester: Save these Islands from domination by a foreign power #Brexit https://t.co/Ffemvzyjkg,,,130342625,Wed Apr 07 01:20:17 +0000 2010,Brexit
21,Thu Jun 23 00:32:01 +0000 2016,This is simple &amp; compelling https://t.co/cWvAB9Zosm,,,56524662,Mon Jul 13 23:02:16 +0000 2009,
22,Thu Jun 23 00:32:02 +0000 2016,RT @vote_leave: RETWEET if you are going to #VoteLeave tomorrow! Let's #TakeControl #ProjectHope https://t.co/pNErAbH2av,United Kingdom,,3221645782,Wed Apr 29 14:54:09 +0000 2015,VoteLeave;TakeControl;ProjectHope
23,Thu Jun 23 00:32:02 +0000 2016,"RT @INTJutsu: If the UK doesn't get out now, there won't be another chance, as their country will be overrun &amp; ruined #BREXIT #UK https://t…",,,57749952,Fri Jul 17 20:35:47 +0000 2009,BREXIT;UK
24,Thu Jun 23 00:32:02 +0000 2016,Sterling hits 2016 high after latest 'Brexit' poll shows 51 percent back 'remain' #Business https://t.co/otYHWoX62l,,,1407574946,Mon May 06 12:01:08 +0000 2013,Business
25,Thu Jun 23 00:32:03 +0000 2016,.@Marketcall contributor @ValueTrend has a technical trade for a possible #Brexit: https://t.co/0De7I7vVbV and an exciting preview to July!,"Toronto, Canada",,26765788,Thu Mar 26 14:53:23 +0000 2009,Brexit
26,Thu Jun 23 00:32:03 +0000 2016,"@Rimbeux Ce la vie - doubt it very much
If it does so what to #Brexit?!",,,1420724989,Sat May 11 13:59:03 +0000 2013,Brexit
27,Thu Jun 23 00:32:03 +0000 2016,"RT @deYook: the big banks &amp; transnational industry have got everything crossed for #VoteRemain. 
#Brexit https://t.co/Z46bFXj5IY https://t.…",United Kingdom,,723251262398054400,Thu Apr 21 20:45:13 +0000 2016,VoteRemain;Brexit
